"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","739","Home page navigates to Classic","mobile-chromium","2026-08-29","passed","2026-08-29","","specs/e2e/public-pages.spec.ts","",""
"","678","Login page exposes password sign-in","chromium","2026-08-29","passed","2026-08-29","","specs/e2e/public-pages.spec.ts","",""
"","1744","Profile page loads","chromium","2026-08-29","passed","2026-08-29","","specs/e2e/account-pages.spec.ts","",""
"","6631","protected account routes redirect anonymous users to login","chromium","2026-08-29","failed","2026-08-29","","specs/e2e/public-pages.spec.ts","",""
"","5942","Classic accepts keyboard input","chromium","2026-08-29","failed","2026-08-29","","specs/e2e/classic.spec.ts","",""
"","1564","Registration page exposes account fields","chromium","2026-08-29","passed","2026-08-29","","specs/e2e/public-pages.spec.ts","",""
"","6024","active users cannot access the account-disabled page","mobile-chromium","2026-08-29","failed","2026-08-29","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","6164","Password login reaches the profile","chromium","2026-08-29","failed","2026-08-29","","specs/e2e/password-login.spec.ts","",""
"","806","Registration page exposes account fields","mobile-chromium","2026-08-29","passed","2026-08-29","","specs/e2e/public-pages.spec.ts","",""
"","2685","Privacy page loads","chromium","2026-08-29","passed","2026-08-29","","specs/e2e/account-pages.spec.ts","",""
"","681","Classic exposes its category navigation","chromium","2026-08-29","passed","2026-08-29","","specs/e2e/classic.spec.ts","",""
"","755","mobile navigation menu exposes site links","mobile-chromium","2026-08-29","passed","2026-08-29","","specs/e2e/public-pages.spec.ts","",""
"","674","Home page exposes both playable game modes","chromium","2026-08-29","passed","2026-08-29","","specs/e2e/public-pages.spec.ts","",""
"","6115","Timeline keeps submission disabled until every slot is filled","mobile-chromium","2026-08-29","failed","2026-08-29","","specs/e2e/timeline.spec.ts","",""
"","827","Cookie consent requires an explicit choice","chromium","2026-08-29","passed","2026-08-29","","specs/e2e/cookie-consent.spec.ts","",""
"","1537","Classic screen loads","chromium","2026-08-29","passed","2026-08-29","","specs/e2e/classic.spec.ts","",""
"","791","Classic screen loads","mobile-chromium","2026-08-29","passed","2026-08-29","","specs/e2e/classic.spec.ts","",""
"","731","Classic exposes Normal and Challenge difficulties","mobile-chromium","2026-08-29","passed","2026-08-29","","specs/e2e/classic.spec.ts","",""
"","817","Privacy page loads","mobile-chromium","2026-08-29","passed","2026-08-29","","specs/e2e/account-pages.spec.ts","",""
"","679","Classic exposes Normal and Challenge difficulties","chromium","2026-08-29","passed","2026-08-29","","specs/e2e/classic.spec.ts","",""
"","1472","Timeline screen loads with difficulty navigation","chromium","2026-08-29","passed","2026-08-29","","specs/e2e/timeline.spec.ts","",""
"","682","Profile page loads","mobile-chromium","2026-08-29","passed","2026-08-29","","specs/e2e/account-pages.spec.ts","",""
"","1559","Emoji screen loads","chromium","2026-08-29","passed","2026-08-29","","specs/e2e/emoji.spec.ts","",""
"","6108","account deletion confirmation requires the emailed single-use link","chromium","2026-08-29","failed","2026-08-29","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","6679","Hardcore account can open the Hardcore game","chromium","2026-08-29","failed","2026-08-29","","specs/e2e/hardcore-access.spec.ts","",""
"","5620","Timeline supports arranging, positional feedback, retrying, and winning","mobile-chromium","2026-08-29","passed","2026-08-29","","specs/e2e/timeline.spec.ts","",""
"","6228","account deletion confirmation requires the emailed single-use link","mobile-chromium","2026-08-29","failed","2026-08-29","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","703","Home page navigates to Emoji","chromium","2026-08-29","passed","2026-08-29","","specs/e2e/public-pages.spec.ts","",""
"","5979","Emoji accepts keyboard input","chromium","2026-08-29","failed","2026-08-29","","specs/e2e/emoji.spec.ts","",""
"","5795","Emoji accepts keyboard input","mobile-chromium","2026-08-29","failed","2026-08-29","","specs/e2e/emoji.spec.ts","",""
"","6153","active users cannot access the account-disabled page","chromium","2026-08-29","failed","2026-08-29","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","6079","Emoji exposes clues and a guess control","mobile-chromium","2026-08-29","failed","2026-08-29","","specs/e2e/emoji.spec.ts","",""
"","6383","protected account routes redirect anonymous users to login","mobile-chromium","2026-08-29","failed","2026-08-29","","specs/e2e/public-pages.spec.ts","",""
"","725","Classic exposes its category navigation","mobile-chromium","2026-08-29","passed","2026-08-29","","specs/e2e/classic.spec.ts","",""
"","868","robots.txt is served as a valid crawler policy","chromium","2026-08-29","passed","2026-08-29","","specs/e2e/public-pages.spec.ts","",""
"","812","Emoji screen loads","mobile-chromium","2026-08-29","passed","2026-08-29","","specs/e2e/emoji.spec.ts","",""
"","676","Login page exposes password sign-in","mobile-chromium","2026-08-29","passed","2026-08-29","","specs/e2e/public-pages.spec.ts","",""
"","6119","Emoji exposes clues and a guess control","chromium","2026-08-29","failed","2026-08-29","","specs/e2e/emoji.spec.ts","",""
"","1741","Credits page loads","chromium","2026-08-29","passed","2026-08-29","","specs/e2e/account-pages.spec.ts","",""
"","5860","Classic accepts keyboard input","mobile-chromium","2026-08-29","failed","2026-08-29","","specs/e2e/classic.spec.ts","",""
"","6057","Password login reaches the profile","mobile-chromium","2026-08-29","failed","2026-08-29","","specs/e2e/password-login.spec.ts","",""
"","6107","authenticated user can access the password reset page","chromium","2026-08-29","failed","2026-08-29","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","6102","disabled user receives a restricted session with the disable reason","chromium","2026-08-29","failed","2026-08-29","","specs/e2e/disabled-account.spec.ts","",""
"","6588","Timeline supports arranging, positional feedback, retrying, and winning","chromium","2026-08-29","passed","2026-08-29","","specs/e2e/timeline.spec.ts","",""
"","6074","authenticated user can access the password reset page","mobile-chromium","2026-08-29","failed","2026-08-29","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","707","Credits page loads","mobile-chromium","2026-08-29","passed","2026-08-29","","specs/e2e/account-pages.spec.ts","",""
"","6145","disabled user receives a restricted session with the disable reason","mobile-chromium","2026-08-29","failed","2026-08-29","","specs/e2e/disabled-account.spec.ts","",""
"","6131","authenticated user can access the issue report form","chromium","2026-08-29","failed","2026-08-29","","specs/e2e/authenticated/account-routes.spec.ts","",""
"","740","Home page navigates to Classic","chromium","2026-08-29","passed","2026-08-29","","specs/e2e/public-pages.spec.ts","",""
"","775","Home page navigates to Emoji","mobile-chromium","2026-08-29","passed","2026-08-29","","specs/e2e/public-pages.spec.ts","",""
"","858","Cookie consent requires an explicit choice","mobile-chromium","2026-08-29","passed","2026-08-29","","specs/e2e/cookie-consent.spec.ts","",""
"","756","robots.txt is served as a valid crawler policy","mobile-chromium","2026-08-29","passed","2026-08-29","","specs/e2e/public-pages.spec.ts","",""
"","6105","Timeline keeps submission disabled until every slot is filled","chromium","2026-08-29","failed","2026-08-29","","specs/e2e/timeline.spec.ts","",""
"","6433","Hardcore account can open the Hardcore game","mobile-chromium","2026-08-29","failed","2026-08-29","","specs/e2e/hardcore-access.spec.ts","",""
"","6058","authenticated user can access the issue report form","mobile-chromium","2026-08-29","failed","2026-08-29","","specs/e2e/authenticated/account-routes.spec.ts","",""
